symbol,name,last_price,change,change_percent,volume,turnover,high,low,open,market_cap,sector
JKH,John Keells Holdings,195.50,12.50,6.83,245000,47512500,197.00,193.00,185.00,82500000000,Diversified
DIAL,Dialog Axiata,8.90,0.75,9.20,1850000,16465000,9.10,8.60,8.15,35600000000,Telecommunications
LOLC,LOLC Holdings,485.00,35.00,7.78,125000,60625000,490.00,450.00,450.00,194000000000,Finance
CTC,Ceylon Tobacco,1420.00,85.00,6.37,15000,21300000,1425.00,1335.00,1335.00,56800000000,Manufacturing
HNB,Hatton National Bank,225.00,15.50,7.40,320000,72000000,227.50,209.50,209.50,90000000000,Banking
COMB,Commercial Bank,120.50,8.00,7.11,450000,54225000,122.00,112.50,112.50,48200000000,Banking
NDB,NDB Bank,72.50,4.50,6.61,280000,20300000,73.00,68.00,68.00,29000000000,Banking
SAMP,Sampath Bank,89.00,5.25,6.27,195000,17355000,90.00,83.75,83.75,35600000000,Banking
CARGILLS,Cargills Ceylon,385.00,22.00,6.06,52000,20020000,388.00,363.00,363.00,15400000000,Retail
DIST,Distilleries Company,38.50,2.10,5.77,650000,25025000,39.00,36.40,36.40,15400000000,Beverages
BIL,Browns Investments,7.20,0.40,5.88,1250000,9000000,7.30,6.80,6.80,28800000000,Diversified
DIPD,Dipped Products,62.00,3.20,5.44,89000,5518000,62.50,58.80,58.80,12400000000,Manufacturing
HNBA,HNB Assurance,98.00,5.00,5.38,45000,4410000,99.00,93.00,93.00,9800000000,Insurance
ASIRI,Asiri Hospital Holdings,42.50,2.10,5.20,125000,5312500,43.00,40.40,40.40,8500000000,Healthcare
VONE,Vallibel One,52.00,2.50,5.05,175000,9100000,52.50,49.50,49.50,20800000000,Diversified
CIC,CIC Holdings,78.00,3.50,4.70,92000,7176000,78.50,74.50,74.50,15600000000,Diversified
GRAN,Grandemar,8.50,0.38,4.68,425000,3612500,8.60,8.12,8.12,3400000000,Manufacturing
MELS,Melstacorp,118.00,5.00,4.43,68000,8024000,119.00,113.00,113.00,47200000000,Diversified
CFIN,Central Finance,98.50,4.00,4.23,55000,5417500,99.50,94.50,94.50,19700000000,Finance
CINS,Ceylinco Insurance,2450.00,98.00,4.17,3200,7840000,2475.00,2352.00,2352.00,49000000000,Insurance

# Losers (negative changes)
SLTL,Sri Lanka Telecom,48.20,-3.80,-7.30,580000,27956000,52.00,48.00,52.00,19280000000,Telecommunications
PABC,Pan Asia Banking,28.50,-2.10,-6.86,325000,9262500,30.60,28.00,30.60,11400000000,Banking
LIOC,Lanka IOC,12.80,-0.85,-6.22,1200000,15360000,13.65,12.60,13.65,5120000000,Energy
CHL,Ceylon Hotels,95.00,-6.00,-5.94,48000,4560000,101.00,94.50,101.00,3800000000,Hotels
CTCE,CT Land,4.50,-0.25,-5.26,890000,4005000,4.75,4.45,4.75,1800000000,Real Estate
LOFC,LOLC Finance,6.80,-0.35,-4.90,1450000,9860000,7.15,6.75,7.15,2720000000,Finance
GHLL,Galadari Hotels,7.20,-0.35,-4.64,425000,3060000,7.55,7.15,7.55,2880000000,Hotels
LFIN,LB Finance,275.00,-13.00,-4.51,25000,6875000,288.00,272.00,288.00,11000000000,Finance
BLUE,Blue Diamonds,5.90,-0.25,-4.07,675000,3982500,6.15,5.85,6.15,2360000000,Real Estate
REXP,Richard Pieris Exports,12.50,-0.50,-3.85,185000,2312500,13.00,12.40,13.00,5000000000,Manufacturing
GEST,Gestetner,3.80,-0.15,-3.80,520000,1976000,3.95,3.75,3.95,1520000000,Trading
HPL,Hemas Holdings,72.00,-2.70,-3.61,95000,6840000,74.70,71.50,74.70,14400000000,Healthcare
KVAL,Kelani Valley Plantations,68.00,-2.50,-3.55,42000,2856000,70.50,67.50,70.50,2720000000,Plantations
ALUM,Alumex,11.20,-0.40,-3.45,285000,3192000,11.60,11.10,11.60,4480000000,Manufacturing
TSML,TSM Lanka,5.60,-0.18,-3.11,625000,3500000,5.78,5.55,5.78,2240000000,Manufacturing
PROP,Property Development,3.40,-0.10,-2.86,780000,2652000,3.50,3.38,3.50,1360000000,Real Estate
WAPO,Watawala Plantations,58.00,-1.60,-2.69,32000,1856000,59.60,57.50,59.60,2320000000,Plantations
SERV,Servion Ceylon,4.20,-0.11,-2.55,410000,1722000,4.31,4.18,4.31,1680000000,Trading
TFIN,Tele Finance,18.50,-0.45,-2.38,125000,2312500,18.95,18.35,18.95,7400000000,Finance
PARQ,Renuka Holdings,22.00,-0.50,-2.22,68000,1496000,22.50,21.80,22.50,8800000000,Sugar
